Unnamed: 0,county,gallons_from_great_lakes,gallons_from_groundwater,gallons_from_inland_surface,total_gallons_all_sources,industry,year
199,Ionia,0,0,0,0,Electric Power Generation,2014
200,Iosco,0,0,0,0,Electric Power Generation,2014
201,Iron,0,0,0,0,Electric Power Generation,2014
202,Isabella,0,18391500,0,18391500,Electric Power Generation,2014
203,Jackson,0,0,0,0,Electric Power Generation,2014
204,Kalamazoo,0,0,0,0,Electric Power Generation,2014
205,Kalkaska,0,0,0,0,Electric Power Generation,2014
206,Kent,0,0,121301053,121301053,Electric Power Generation,2014
207,Keweenaw,0,0,0,0,Electric Power Generation,2014
208,Lake,0,0,0,0,Electric Power Generation,2014
209,Lapeer,0,0,0,0,Electric Power Generation,2014
210,Leelanau,0,0,0,0,Electric Power Generation,2014
211,Lenawee,0,0,0,0,Electric Power Generation,2014
212,Livingston,0,0,0,0,Electric Power Generation,2014
213,Luce,0,0,0,0,Electric Power Generation,2014
214,Mackinac,0,0,0,0,Electric Power Generation,2014
215,Macomb,0,0,0,0,Electric Power Generation,2014
216,Manistee,0,75825847,343938745,419764592,Electric Power Generation,2014
217,Marquette,69028458333,0,0,69028458333,Electric Power Generation,2014
218,Mason,0,0,0,0,Electric Power Generation,2014
219,Mecosta,0,0,0,0,Electric Power Generation,2014
220,Menominee,0,0,0,0,Electric Power Generation,2014
221,Midland,0,0,58305000,58305000,Electric Power Generation,2014
222,Missaukee,0,155100000,0,155100000,Electric Power Generation,2014
223,Monroe,657795718555,45151044,0,657840869599,Electric Power Generation,2014
224,Montcalm,0,0,0,0,Electric Power Generation,2014
225,Montmorency,0,0,0,0,Electric Power Generation,2014
226,Muskegon,0,3134568,79614685542,79617820110,Electric Power Generation,2014
227,Newaygo,0,0,0,0,Electric Power Generation,2014
228,Oakland,0,0,0,0,Electric Power Generation,2014
229,Oceana,0,0,0,0,Electric Power Generation,2014
230,Ogemaw,0,0,0,0,Electric Power Generation,2014
231,Ontonagon,0,0,0,0,Electric Power Generation,2014
232,Osceola,0,0,0,0,Electric Power Generation,2014
233,Oscoda,0,0,0,0,Electric Power Generation,2014
234,Otsego,0,0,0,0,Electric Power Generation,2014
235,Ottawa,241040908562,540657359,20615725770,262197291691,Electric Power Generation,2014
236,Presque Isle,0,0,0,0,Electric Power Generation,2014
237,Roscommon,0,0,0,0,Electric Power Generation,2014
238,Saginaw,0,0,0,0,Electric Power Generation,2014
239,Saint Clair,452997400000,0,0,452997400000,Electric Power Generation,2014
240,Saint Joseph,0,0,0,0,Electric Power Generation,2014
241,Sanilac,0,0,0,0,Electric Power Generation,2014
242,Schoolcraft,0,0,0,0,Electric Power Generation,2014
243,Shiawassee,0,0,0,0,Electric Power Generation,2014
244,Tuscola,0,0,0,0,Electric Power Generation,2014
245,Van Buren,42299990000,0,0,42299990000,Electric Power Generation,2014
246,Washtenaw,0,0,0,0,Electric Power Generation,2014
247,Wayne,210228000000,0,61620000000,271848000000,Electric Power Generation,2014
248,Wexford,0,0,0,0,Electric Power Generation,2014
249,Alcona,0,0,0,0,Industrial-Manufacturing,2014
250,Alger,1512160000,101761520,0,1613921520,Industrial-Manufacturing,2014
251,Allegan,0,754363287,233298960,987662247,Industrial-Manufacturing,2014
252,Alpena,0,0,1607600000,1607600000,Industrial-Manufacturing,2014
253,Antrim,0,67885524,0,67885524,Industrial-Manufacturing,2014
254,Arenac,0,0,0,0,Industrial-Manufacturing,2014
255,Baraga,128606936,0,0,128606936,Industrial-Manufacturing,2014
256,Barry,0,149339478,37800000,187139478,Industrial-Manufacturing,2014
257,Bay,8640000,396900,788205217,797242117,Industrial-Manufacturing,2014
258,Benzie,0,100300843,0,100300843,Industrial-Manufacturing,2014
259,Berrien,0,690899854,201000,691100854,Industrial-Manufacturing,2014
260,Branch,0,6975000,117188800,124163800,Industrial-Manufacturing,2014
261,Calhoun,0,1255319324,666006613,1921325937,Industrial-Manufacturing,2014
262,Cass,0,180000,394794000,394974000,Industrial-Manufacturing,2014
263,Charlevoix,827110000,4177605000,968501934,5973216934,Industrial-Manufacturing,2014
264,Cheboygan,0,2802612,32549155,35351767,Industrial-Manufacturing,2014
265,Chippewa,294800000,0,0,294800000,Industrial-Manufacturing,2014
266,Clare,0,46468450,341120000,387588450,Industrial-Manufacturing,2014
267,Clinton,0,208764747,0,208764747,Industrial-Manufacturing,2014
268,Crawford,0,34283723,0,34283723,Industrial-Manufacturing,2014
269,Delta,13246615000,62156786,181636197,13490407983,Industrial-Manufacturing,2014
270,Dickinson,0,46667000,7593500000,7640167000,Industrial-Manufacturing,2014
271,Eaton,0,950000,0,950000,Industrial-Manufacturing,2014
272,Emmet,0,9730000,0,9730000,Industrial-Manufacturing,2014
273,Genesee,0,5374780,0,5374780,Industrial-Manufacturing,2014
274,Gladwin,0,0,0,0,Industrial-Manufacturing,2014
275,Gogebic,0,60000000,0,60000000,Industrial-Manufacturing,2014
276,Grand Traverse,0,284929000,0,284929000,Industrial-Manufacturing,2014
277,Gratiot,0,5806118,215000000,220806118,Industrial-Manufacturing,2014
278,Hillsdale,0,330262611,0,330262611,Industrial-Manufacturing,2014
279,Houghton,0,0,0,0,Industrial-Manufacturing,2014
280,Huron,0,9892320,0,9892320,Industrial-Manufacturing,2014
281,Ingham,0,30700060,0,30700060,Industrial-Manufacturing,2014
282,Ionia,0,70747300,0,70747300,Industrial-Manufacturing,2014
283,Iosco,0,17262890,13625651,30888541,Industrial-Manufacturing,2014
284,Iron,0,0,0,0,Industrial-Manufacturing,2014
285,Isabella,0,0,545000000,545000000,Industrial-Manufacturing,2014
286,Jackson,0,191983490,232327735,424311225,Industrial-Manufacturing,2014
287,Kalamazoo,0,7108331465,1198666339,8306997804,Industrial-Manufacturing,2014
288,Kalkaska,0,0,0,0,Industrial-Manufacturing,2014
289,Kent,0,308029085,221513500,529542585,Industrial-Manufacturing,2014
290,Keweenaw,0,0,0,0,Industrial-Manufacturing,2014
291,Lake,0,0,0,0,Industrial-Manufacturing,2014
292,Lapeer,0,101772000,0,101772000,Industrial-Manufacturing,2014
293,Leelanau,0,206404737,8077950,214482687,Industrial-Manufacturing,2014
294,Lenawee,0,198946351,39044001,237990352,Industrial-Manufacturing,2014
295,Livingston,0,305671000,1037600000,1343271000,Industrial-Manufacturing,2014
296,Luce,0,19653006,0,19653006,Industrial-Manufacturing,2014
297,Mackinac,563030000,39300,0,563069300,Industrial-Manufacturing,2014
298,Macomb,0,13367489,0,13367489,Industrial-Manufacturing,2014
299,Manistee,1062899532,229417557,9025790000,10318107089,Industrial-Manufacturing,2014
300,Marquette,0,85944112,7833977383,7919921495,Industrial-Manufacturing,2014
301,Mason,0,239208706,9638911327,9878120033,Industrial-Manufacturing,2014
302,Mecosta,0,328574593,0,328574593,Industrial-Manufacturing,2014
303,Menominee,0,0,702600000,702600000,Industrial-Manufacturing,2014
304,Midland,0,0,1150224160,1150224160,Industrial-Manufacturing,2014
305,Missaukee,0,32631460,0,32631460,Industrial-Manufacturing,2014
306,Monroe,0,8807865654,0,8807865654,Industrial-Manufacturing,2014
307,Montcalm,0,8755672,4978000000,4986755672,Industrial-Manufacturing,2014
308,Montmorency,0,0,0,0,Industrial-Manufacturing,2014
309,Muskegon,0,990591535,4356940000,5347531535,Industrial-Manufacturing,2014
310,Newaygo,0,5373000,0,5373000,Industrial-Manufacturing,2014
311,Oakland,0,835306247,2876988690,3712294937,Industrial-Manufacturing,2014
312,Oceana,0,157324581,0,157324581,Industrial-Manufacturing,2014
313,Ogemaw,0,0,0,0,Industrial-Manufacturing,2014
314,Ontonagon,0,0,0,0,Industrial-Manufacturing,2014
315,Osceola,0,154613471,0,154613471,Industrial-Manufacturing,2014
316,Oscoda,0,0,0,0,Industrial-Manufacturing,2014
317,Otsego,0,997880,0,997880,Industrial-Manufacturing,2014
318,Ottawa,0,137976721,114915445,252892166,Industrial-Manufacturing,2014
319,Presque Isle,2991402000,712652,8545212252,11537326904,Industrial-Manufacturing,2014
320,Roscommon,0,0,0,0,Industrial-Manufacturing,2014
321,Saginaw,0,729000,0,729000,Industrial-Manufacturing,2014
322,Saint Clair,5138485938,0,0,5138485938,Industrial-Manufacturing,2014
323,Saint Joseph,0,603812247,88974334,692786581,Industrial-Manufacturing,2014
324,Sanilac,0,87961088,0,87961088,Industrial-Manufacturing,2014
325,Schoolcraft,974334000,412430,1742480000,2717226430,Industrial-Manufacturing,2014
326,Shiawassee,0,854000,6635000,7489000,Industrial-Manufacturing,2014
327,Tuscola,0,32197876,91500000,123697876,Industrial-Manufacturing,2014
328,Van Buren,0,451676765,0,451676765,Industrial-Manufacturing,2014
329,Washtenaw,0,1650405351,204700000,1855105351,Industrial-Manufacturing,2014
330,Wayne,90206133300,538330000,35380096471,126124559771,Industrial-Manufacturing,2014
331,Wexford,0,11623460,0,11623460,Industrial-Manufacturing,2014
332,Alcona,0,30441525,12429947,42871472,Irrigation,2014
333,Alger,0,9300000,0,9300000,Irrigation,2014
334,Allegan,0,3822152335,3446729806,7268882141,Irrigation,2014
335,Alpena,0,13781000,60920000,74701000,Irrigation,2014
336,Antrim,0,2813935875,54526097,2868461972,Irrigation,2014
337,Arenac,0,50724204,74305289,125029493,Irrigation,2014
338,Baraga,0,0,0,0,Irrigation,2014
339,Barry,0,784239495,730116502,1514355997,Irrigation,2014
340,Bay,0,28737806,609252759,637990565,Irrigation,2014
341,Benzie,0,294981432,0,294981432,Irrigation,2014
342,Berrien,1680000,4087271253,1628823131,5717774384,Irrigation,2014
343,Branch,0,5699072996,3171484234,8870557230,Irrigation,2014
344,Calhoun,0,2372661573,1045082456,3417744029,Irrigation,2014
345,Cass,0,11513963588,718411834,12232375422,Irrigation,2014
346,Charlevoix,0,62083355,18370200,80453555,Irrigation,2014
347,Cheboygan,0,87123230,3434312932,3521436162,Irrigation,2014
348,Chippewa,0,48541505,0,48541505,Irrigation,2014
349,Clare,0,138582366,4360000,142942366,Irrigation,2014
350,Clinton,0,324474401,672893440,997367841,Irrigation,2014
351,Crawford,0,3024000,46154923,49178923,Irrigation,2014
352,Delta,16300000,36527564,31625366,84452930,Irrigation,2014
353,Dickinson,0,30372000,28945000,59317000,Irrigation,2014
354,Eaton,0,63785052,46720850,110505902,Irrigation,2014
355,Emmet,45700000,148242733,3500000,197442733,Irrigation,2014
356,Genesee,0,99840278,53446741,153287019,Irrigation,2014
357,Gladwin,0,0,5466615,5466615,Irrigation,2014
358,Gogebic,0,0,0,0,Irrigation,2014
359,Grand Traverse,0,426012808,27101787,453114595,Irrigation,2014
360,Gratiot,0,1769584903,192929462,1962514365,Irrigation,2014
361,Hillsdale,0,1519433427,292700101,1812133528,Irrigation,2014
362,Houghton,0,548812,10068000,10616812,Irrigation,2014
363,Huron,2826000,53884942,333559036,390269978,Irrigation,2014
364,Ingham,0,253713287,35075742,288789029,Irrigation,2014
365,Ionia,0,434576543,184780460,619357003,Irrigation,2014
366,Iosco,0,50990000,36400000,87390000,Irrigation,2014
367,Iron,0,25974000,17466000,43440000,Irrigation,2014
368,Isabella,0,2005461449,458727446,2464188895,Irrigation,2014
369,Jackson,0,1928628076,635387726,2564015802,Irrigation,2014
370,Kalamazoo,0,5547510902,1197622258,6745133160,Irrigation,2014
371,Kalkaska,0,1248992161,641267299,1890259460,Irrigation,2014
372,Kent,0,1047614760,596930306,1644545066,Irrigation,2014
373,Keweenaw,2300256,575064,0,2875320,Irrigation,2014
374,Lake,0,0,0,0,Irrigation,2014
375,Lapeer,0,80639183,101339389,181978572,Irrigation,2014
376,Leelanau,5540479,604720730,2170774,612431983,Irrigation,2014
377,Lenawee,0,223535157,933781023,1157316180,Irrigation,2014
378,Livingston,0,218843087,212308114,431151201,Irrigation,2014
379,Luce,0,516792342,0,516792342,Irrigation,2014
380,Mackinac,11085000,64600000,7195000,82880000,Irrigation,2014
381,Macomb,21444961,101483792,490740065,613668818,Irrigation,2014
382,Manistee,0,386158986,119611500,505770486,Irrigation,2014
383,Marquette,0,18547000,58365635,76912635,Irrigation,2014
384,Mason,0,400462628,234032991,634495619,Irrigation,2014
385,Mecosta,0,2910011540,232349400,3142360940,Irrigation,2014
386,Menominee,0,0,8250000,8250000,Irrigation,2014
387,Midland,0,68223270,60866006,129089276,Irrigation,2014
388,Missaukee,0,2394920112,216493854,2611413966,Irrigation,2014
389,Monroe,0,820050266,969965770,1790016036,Irrigation,2014
390,Montcalm,0,10821995493,1102422518,11924418011,Irrigation,2014
391,Montmorency,0,9740000,52026200,61766200,Irrigation,2014
392,Muskegon,0,607273934,269922573,877196507,Irrigation,2014
393,Newaygo,0,1374620141,235677245,1610297386,Irrigation,2014
394,Oakland,0,744481044,463553667,1208034711,Irrigation,2014
395,Oceana,0,1611291298,335402840,1946694138,Irrigation,2014
396,Ogemaw,0,17200509,15941107,33141616,Irrigation,2014
397,Ontonagon,0,0,0,0,Irrigation,2014
398,Osceola,0,160153856,43536000,203689856,Irrigation,2014
399,Oscoda,0,36371200,45200000,81571200,Irrigation,2014
400,Otsego,0,753645980,0,753645980,Irrigation,2014
401,Ottawa,0,1430940027,1107504808,2538444835,Irrigation,2014
402,Presque Isle,0,80579102,20244000,100823102,Irrigation,2014
403,Roscommon,0,56039248,15866200,71905448,Irrigation,2014
404,Saginaw,0,353620135,112740294,466360429,Irrigation,2014
405,Saint Clair,3420227,29582190,101051971,134054388,Irrigation,2014
406,Saint Joseph,0,16932162494,3921251437,20853413931,Irrigation,2014
407,Sanilac,0,321793700,31065676,352859376,Irrigation,2014
408,Schoolcraft,0,7338446,37346837,44685283,Irrigation,2014
409,Shiawassee,0,19994800,45624800,65619600,Irrigation,2014
410,Tuscola,1412000,406566678,1114127178,1522105856,Irrigation,2014
411,Van Buren,0,6706015582,650602739,7356618321,Irrigation,2014
412,Washtenaw,0,1005173528,235115367,1240288895,Irrigation,2014
413,Wayne,27985613,128590559,212579027,369155199,Irrigation,2014
414,Wexford,0,367469859,0,367469859,Irrigation,2014
415,Alcona,0,18662400,259200000,277862400,Livestock,2014
416,Alger,0,0,0,0,Livestock,2014
417,Allegan,0,126281929,2988024,129269953,Livestock,2014
418,Alpena,0,0,0,0,Livestock,2014
419,Antrim,0,306000,0,306000,Livestock,2014
420,Arenac,0,0,0,0,Livestock,2014
421,Baraga,0,0,0,0,Livestock,2014
422,Barry,0,139060042,1550000,140610042,Livestock,2014
423,Bay,0,0,0,0,Livestock,2014
424,Benzie,0,14420266,2417422249,2431842515,Livestock,2014
425,Berrien,0,0,0,0,Livestock,2014
426,Branch,0,34773000,0,34773000,Livestock,2014
427,Calhoun,0,12036000,0,12036000,Livestock,2014
428,Cass,0,41295412,0,41295412,Livestock,2014
429,Charlevoix,0,0,0,0,Livestock,2014
